"competition_id","events"
"KStateCubingSpring2024","333,666,777,clock,minx,pyram"
"MonctonSpring2024","333,444,555,clock,pyram,skewb"
"MuskeGO2024","222,333,clock,pyram,skewb,sq1"
"NewUlmReboot2024","333,444,777,clock,skewb"
"RidgefieldSpring2024","222,333,333bf,333oh,555,666,clock,minx,pyram,skewb,sq1"
"SantaBarbaraCubing2024","222,333,333bf,333oh,444,clock"
"SheridanStampede2024","222,333,333oh,clock,minx,pyram,skewb"
"SolvingInSale2024","222,333,333bf,333mbf,333oh,444,555,minx,pyram,skewb,sq1"
"TryCubingHobart2024","222,333,333oh"
"WideBayCubing2024","222,333,333bf,333oh,444,555,clock,pyram,skewb"
"CharlottetownMini2024","222,333"
"KatipunanOneBigF2L2024","333,333oh,444,444bf,555,555bf,skewb"
"SolarEclipseinSycamore2024","222,333,333bf,666,777,pyram"
"SL388PiratensHamnd2024","333,333bf,777,clock,pyram,sq1"
"NebraskaChampionship2024","222,333,333bf,333fm,333mbf,333oh,444,444bf,555,555bf,666,777,clock,minx,pyram,skewb,sq1"
"AzoresCubikon2024","222,333,333oh,clock,pyram,skewb"
"CubinginHD2024","222,333,333fm,333oh,444,555,clock,pyram,skewb"
"GoingFastinGuildford2024","333,444,minx,pyram,sq1"
"MasonCubeChallenge2024","222,333,333oh,pyram,skewb"
"MegaChiasso2024","222,333,333bf,444,444bf,555,clock,minx,skewb"
"NittedalMentalBreakdown2024","333bf,333fm,333mbf,444bf,555bf"
"RareEventsAthens2024","333bf,333fm,clock,minx,sq1"
"SouthJerseySpeedsolving2024","222,333,333oh,666,clock"
"UCDCubeDays2024","222,333,333bf,333mbf,555,clock,minx,pyram,skewb,sq1"
"WashtenawSpring2024","333,333bf,555,777,minx,pyram,skewb"
"NZSouthIslandChampionship2024","222,333,333bf,333mbf,333oh,444,444bf,555,555bf,666,777,clock,minx,pyram,skewb,sq1"
"FuenteAlamoOpen2024","222,333,333bf,444,555,minx,pyram,skewb,sq1"
"GermanOpen2024","222,333,333bf,333oh,444,444bf,555,555bf,666,777,clock,minx,pyram,skewb,sq1"
"GoulburnOpen2024","222,333,333oh,skewb"
"GreatPeconicBaySpring2024","222,333,333bf,clock,pyram,skewb"
"LinghemOpen2024","222,333,333oh,444,555,pyram,skewb,sq1"
"MiddleGeorgiaSpeedsolving2024","222,333,666,clock,minx,skewb"
"MinnesotaSlice2024","333,333bf,minx,pyram,skewb,sq1"
"NubOpenYucaipa2024","333,444,666,777,minx,pyram"
"StevenageApril2024","333,333bf,333oh,555,minx,pyram,sq1"
"ImusUnderSeven2024","222,clock,pyram,skewb"
"Uppsalaligan4Emoji2024","222,333,333bf,444,555,clock,skewb"
"IcelandTestComp2024","333"
"BayAreaSpeedcubin61SanJose2024","333,333bf,333oh,444,pyram,sq1"
"CreweSpring2024","222,333,333bf,333oh,444,555,clock,minx,skewb,sq1"
"ItsAboutTimeBloomsburg2024","222,333,333bf,clock,pyram"
"MotherEarthsCharterSpring2024","222,333,clock,pyram,skewb"
"PerthPuzzlePyjamaParty2024","222,333,555,666,777,clock,skewb,sq1"
"PleaseBeQuietBrisbane2024","333bf,333fm,333mbf,444bf,555bf,clock"
"PuertoRicoOpen2024","222,333,333oh,444,555,pyram,skewb"
"RiverHawkCubikon2024","222,333,clock,pyram,skewb"
"SaintJohnsShowdown2024","222,333,333oh,444,pyram,sq1"
"DFWCubingSpring2024","222,333,333oh,444,555,sq1"
"SanMarinoNationals2024","333,333oh,444,555,666"
"SL432FelFargiAnkeborg2024","222,333,333oh,555bf,666,sq1"
"MexicaliRose2024","222,333,333oh,444,555,minx,pyram,skewb"
"PalmerstonNorth2024","222,333,333bf,333oh,444,555,666,777,clock,minx,pyram"
"SASprintShowdown2024","222,clock,pyram,skewb"
"VIDCubingHatillo2024","222,333,333oh,444,555,pyram,skewb,sq1"
"WendlingerWurfelwochenende2024","333,333oh,444,555,666,777,minx,pyram"
"BornholmOpen2024","222,333,333bf,444,pyram,skewb"
"SwedishFMCChampionship2024","333fm"
"SwedishChampionship2024","222,333,333bf,333mbf,333oh,444,444bf,555,555bf,666,777,clock,minx,pyram,skewb,sq1"
"AlabamaChampionship2024","222,333,333bf,333fm,333oh,444,555,666,777,clock,minx,pyram,skewb,sq1"
"HowrahCubeOpen2024","222,333,333bf,333oh,444,555,666,777,clock,minx,pyram,skewb,sq1"
"StevenageMay2024","222,333,444,666,clock,skewb"
"NoTriangleinRzeszow2024","222,333,333fm,333oh,444,555,clock,minx,skewb,sq1"
"BerwickSpring2024","333,444,clock,minx,skewb"
"FastSolvesinFendalton2024","222,333,333bf,333oh,444,444bf,555,clock,pyram,skewb"
"TramshedsIIMaySaturday2024","333,333bf,minx,pyram"
"WestonsuperMareSpring2024","222,333,333bf,333mbf,555,666,777,pyram,skewb"
"TramshedsIIMaySunday2024","333,333oh,skewb"
"SL396PengabingeniFara2024","333,444bf,555,clock,minx,pyram"
"KolnerKubing2024","222,333,333fm,333oh,444,555,666,777,clock,minx,pyram,skewb"
"EdmontonRiverValleyRumble2024","222,333,444,555,666,777"
"NewcastleTynesideSpring2024","222,333,333bf,444,555,666,minx,skewb,sq1"
"Only3x3sinPerth2024","333,333bf,333fm,333mbf,333oh"
"SAJAguasdaPrata2024","222,333,333bf,333oh,444,555,666,777,clock,pyram,sq1"
"PittMeadowsSpringOpen2024","222,333,444,pyram,sq1"
"Uppsalaligan5Clover2024","333,444,444bf,777,clock,pyram,sq1"
"BellinzonaOpen2024","222,333,444,clock,pyram,skewb,sq1"
"SegundoAldeillaOpen2024","222,333,444,555,666,777"
"HeartlandChampionship2024","222,333,333bf,333fm,333mbf,333oh,444,444bf,555,555bf,666,777,clock,minx,pyram,skewb,sq1"
"GranadaOpen2024","222,333,333bf,333oh,444,clock,pyram,skewb,sq1"
"PuzzlesinPottsville2024","222,333,666,clock,skewb,sq1"
"StevenageJune2024","222,333,333bf,333fm,333oh,444,777,minx,pyram"
"OtepotiBigCubes2024","333,333oh,444,555,666,777,minx,pyram,skewb,sq1"
"SL413KalleiKubik2024","222,333,333bf,333oh,444,skewb"
"RockyMountainChampionship2024","222,333,333bf,333mbf,333oh,444,444bf,555,555bf,666,777,clock,minx,pyram,skewb,sq1"
"PennsylvaniaChampionship2024","222,333,333oh,444,555,666,777,clock,minx,pyram,skewb,sq1"
"BayAreaSpeedcubin642024","222,333,333bf,333oh,444,555,666,777,clock,minx,pyram,skewb,sq1"
"LouisianaChampionship2024","222,333,333bf,333fm,333mbf,333oh,444,444bf,555,555bf,666,777,clock,minx,pyram,skewb,sq1"
"Uppsalaligan6O22024","222,333,333bf,333oh,666,minx,skewb"
"NorthwestChampionship2024","222,333,333bf,333mbf,333oh,444,444bf,555,555bf,666,777,clock,minx,pyram,skewb,sq1"
"SoutheastChampionship2024","222,333,333bf,333mbf,333oh,444,444bf,555,555bf,666,777,clock,minx,pyram,skewb,sq1"
"BoltonSummer2024","222,333,333bf,333oh,444,444bf,555,minx,pyram,skewb"
"AustralianNationals2024","222,333,333bf,333mbf,333oh,444,444bf,555,555bf,666,777,clock,minx,pyram,skewb,sq1"
"NAC2024","222,333,333bf,333fm,333mbf,333oh,444,444bf,555,555bf,666,777,clock,minx,pyram,skewb,sq1"
"NZNorthIslandChampionship2024","222,333,333bf,333mbf,333oh,444,444bf,555,555bf,666,777,clock,minx,pyram,skewb,sq1"
"WarmUpPortugalete2024","222,333,333bf,333fm,333mbf,333oh,444,444bf,555,555bf,666,777,clock,minx,pyram,skewb,sq1"
"Euro2024","222,333,333bf,333fm,333mbf,333oh,444,444bf,555,555bf,666,777,clock,minx,pyram,skewb,sq1"
"SouthernChampionship2024","222,333,333bf,333mbf,333oh,444,444bf,555,555bf,666,777,clock,minx,pyram,skewb,sq1"
"NorwegianChampionship2024","222,333,333bf,333mbf,333oh,444,444bf,555,555bf,666,777,clock,minx,pyram,skewb,sq1"
"CouffoulEvents2024","222,333,333bf,333fm,333mbf,333oh,444,444bf,555,555bf,666,777,clock,minx,pyram,skewb,sq1"
"LaLaLand2024","222,333,333bf,333mbf,333oh,444,444bf,555,555bf,666,777,clock,minx,pyram,skewb,sq1"
"GreatLakesChampionship2024","222,333,333bf,333fm,333mbf,333oh,444,444bf,555,555bf,666,777,clock,minx,pyram,skewb,sq1"
"NewZealandNationals2024","222,333,333bf,333mbf,333oh,444,444bf,555,555bf,666,777,clock,minx,pyram,skewb,sq1"
